"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"gene7802",-0.911957411957424,6.42990654205607,-5.90627899734356,1.32163305760599e-08,3.77936111634312e-06,9.38627943538485
"gene7827",-0.556306306306236,7.44859813084112,-5.90217285994946,1.35033259661615e-08,3.77936111634312e-06,9.36601302340605
"gene11121",-0.876330876330853,6,-5.89643360718238,1.39147044235662e-08,3.80598790312772e-06,9.33770305805467
"gene1292",-0.700450450450383,11.1822429906542,-5.88864024101661,1.44929958620791e-08,3.87266713184825e-06,9.29929238526692
"gene7809",-0.566543816543778,6.91121495327103,-5.8845990637854,1.4802051355631e-08,3.87266713184825e-06,9.27938923370339
"gene10979",-0.81859131859133,5.63084112149533,-5.85900868109411,1.69142008497308e-08,4.20290580619165e-06,9.15358225296358
"gene9290",-0.562244062244031,6.18691588785047,-5.85790683865508,1.70114724912709e-08,4.20290580619165e-06,9.1481742488058
"gene9312",-0.735872235872217,6.17289719626168,-5.85677506920829,1.71119555050595e-08,4.20290580619165e-06,9.14262012068281
"gene6329",-0.530098280098292,6.22429906542056,-5.83822587988123,1.88439496075406e-08,4.53573867053501e-06,9.05170066518896
"gene1946",-1.02334152334145,9.88317757009346,-5.82962289250057,1.9704316293702e-08,4.64983228617066e-06,9.00960345815496
"gene10756",-0.731981981982003,5.82710280373832,-5.82101276235112,2.06038047212422e-08,4.76859211192596e-06,8.96751619025576
"gene7968",0.571457821457828,6.04672897196262,5.81272494887199,2.15074707376248e-08,4.80640651704621e-06,8.92704691984051
"gene10313",-0.754095004094983,5.76635514018692,-5.8122005971466,2.15659287013291e-08,4.80640651704621e-06,8.92448792096316
"gene11250",-1.14209664209663,5.64953271028037,-5.80568987812196,2.23048464742713e-08,4.88070595123373e-06,8.89272751227474
"gene10401",-0.624692874692832,6.1588785046729,-5.78033732305066,2.54252697705832e-08,5.46416288730301e-06,8.7692992660939
"gene9401",-1.1220311220311,6.10280373831776,-5.77040274838402,2.6761019675474e-08,5.65033108411104e-06,8.72103999616893
"gene7569",-0.716011466011437,6.56542056074766,-5.74808071514402,3.00173067928896e-08,6.2285911595246e-06,8.61282639927047
"gene9809",-0.817772317772252,6.87383177570093,-5.7113778751433,3.62309881051631e-08,7.39050748890912e-06,8.43556237021962
"gene11664",-0.752866502866465,6.13084112149533,-5.6680104243071,4.52023410192516e-08,8.91819957650316e-06,8.22718257131377
"gene2191",-0.596027846027868,8.16355140186916,-5.65534492990345,4.82087647538113e-08,9.35794328729225e-06,8.16654534753842
"gene4275",-0.748566748566788,9.90654205607477,-5.6025918542602,6.29705069627326e-08,1.16592315584075e-05,7.91506225770742
"gene10752",-0.618959868959815,4.85981308411215,-5.59661717006889,6.48976199225479e-08,1.18339826631495e-05,7.88668982430004
"gene11964",-0.570024570024597,4.8785046728972,-5.58876550120083,6.75178165933549e-08,1.2061986205275e-05,7.84943814060683
